SPEC,COMM,CODE,TSN
LAMINARIA DIGITATA,HORSETAIL KELP,9322,NA
AGARUM CRIBROSUM,SEA COLANDER/ HOLEY KELP,9325,NA
FUCUS VESICULOSUS,BLADDER WRACK,9327,NA
FUCUS DISTICHUS,ROCK WEED,9328,NA
ASCOPHYLLUM NODOSUM,KNOTTED WRACK,9331,NA
ALCYONIUM DIGITATUM,DEAD MANS FINGERS,8336,NA
SERTULARIA POLYZONIAS,HYDROZOA,8341,NA
NEMERTEA,RIBBON WORM,8343,NA
HETROPODIDAE,STAGHORN BRYOZOA,8344,NA
THYONELLA AFF. PERVICAX,SEA CUCUMBER,8345,NA
PSEUDARCHASTER PARELII,PSEUDARCHASTER PARELII,8346,NA
PSILASTER ANDROMEDA,PSILASTER ANDROMEDA,8347,NA
LOPHASTER FURCIFER,LOPHASTER FURCIFER,8349,NA
SYSCENUS INFELIX,SYSCENUS INFELIX,8352,NA
ACANTHEPHYRA PELAGICA,ACANTHEPHYRA PELAGICA,8353,NA
FLABELLUM ALABASTRUM,FLABELLUM ALABASTRUM,8362,NA
VAZELLA POURTALESI,RUSSIAN HATS,8601,NA
PURSE BARNDOOR SKATE,PURSE BARNDOOR SKATE,1199,NA
PURSE LITTLE SKATE,PURSE LITTLE SKATE,1203,NA
PURSE WINTER SKATE,PURSE WINTER SKATE,1204,NA
CEREMASTER GRANULARIS,CEREMASTER GRANULARIS,6101,NA
HENRICA SP.,HENRICA SP,6120,NA
HYALINOECIA CF TUBICOLA,HYALINOECIA CF TUBICOLA,3099,NA
SERGESTES ARCTICUS,SERGESTES ARCTICUS,2223,NA
SABINEA SARSI,SABINEA SARSI,2419,NA
OPHIACANTHA ABYSSICOLA,OPHIACANTHA ABYSSICOLA,6201,NA
NATICIDAE F.,MOON SNAIL UNSP,4220,NA
PENNATULA ACULEATA,PENNATULA ACULEATA,8367,NA
POLYMASTIA ANDRICA,POLYMASTIA ANDRICA,8609,NA
POLYMASTIA F.,POLYMASTIA F.,8605,NA
THENEA SP.,THENEA SP.,8625,NA
ACTINIIDAE F. ,ACTINIIDAE F. ,8209,NA
ACTINOSTOLA SPP. ,ACTINOSTOLA SPP. ,8216,NA
LAETMONICE FILICORNIS,LAETMONICE FILICORNIS,3215,NA
BATHYPOLYPUS SPP. ,BATHYPOLYPUS SPP. ,4508,NA
CHIRONA HAMERI,CHIRONA HAMERI,2062,NA
PLESIONIKA MARTIA,PLESIONIKA MARTIA,2217,NA
PLESIONIKA SP. ,PLESIONIKA SP.,2216,NA
HOMOLA MINIMA,HOMOLA MINIMA,2544,NA
SPINOLAMBRUS POURTALESII,SPINOLAMBRUS POURTALESII,2547,NA
COLOSSENDEIS SPP.,COLOSSENDEIS SPP.,5105,NA
OPHIACANTHA BIDENTATA,OPHIACANTHA BIDENTATA,6202,NA
SCLERASTERIAS TANNERI,SCLERASTERIAS TANNERI,6106,NA
ASTROPECTEN AMERICANUS,ASTROPECTEN AMERICANUS,6136,NA
PLUTONASTER AGASSIZI,PLUTONASTER AGASSIZI,6139,NA
MEDIASTER BAIRDI,MEDIASTER BAIRDI,6128,NA
PTERASTER PULVILLUS,PTERASTER PULVILLUS,6126,NA
BOLTENIA OVIFERA,BOLTENIA OVIFERA,1812,NA
STEREODERMA UNISEMITA,STEREODERMA UNISEMITA,6615,NA
SCYLIORHINUS RETIFER,CHAIN CATSHARK,1071,NA
EPIZOANTHIDAE F.,EPIZOANTHIDAE F.,8381,NA
EPIZOANTHUS SPP.,EPIZOANTHUS SPP.,8382,NA
