taxon,species,genus,family,order,class,superclass,subphylum,phylum,kingdom,name,common
Gadus macrocephalus,macrocephalus,Gadus,Gadidae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Gadus macrocephalus,Pacific cod
GADUS MORHUA,morhua,Gadus,Gadidae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Gadus morhua,Atlantic cod
Gadus morhua,morhua,Gadus,Gadidae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Gadus morhua,Atlantic cod
Gadusmacrocephalus,macrocephalus,Gadus,Gadidae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Gadus macrocephalus,Pacific cod
GAIDROPSARUS  SP,NA,Gaidropsarus,Lotidae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Gaidropsarus spp.,three-bearded rocklings
GAIDROPSARUS  SP.,NA,Gaidropsarus,Lotidae,Gadiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Gaidropsarus spp.,three-bearded rocklings
GALEOCERDO CUVIER,,,,,,,,,,Galeocerdo cuvier,tiger shark
Galeorhinus galeus,galeus,Galeorhinus,Triakidae,Carcharhiniformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Galeorhinus galeus,tope shark
gastropod eggs,NA,NA,NA,NA,Gastropoda,NA,NA,Mollusca,Animalia,Gastropod eggs,Gastropod eggs
Gastropoda,NA,NA,NA,NA,Gastropoda,NA,NA,Mollusca,Animalia,Gastropoda spp.,gastropods
gastropodeggs,NA,NA,NA,NA,Gastropoda,NA,NA,Mollusca,Animalia,Gastropod eggs,Gastropod eggs
Genyonemus lineatus,lineatus,Genyonemus,Sciaenidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Genyonemus lineatus,white croaker
Gephyreaster swifti,swifti,Gephyreaster,Goniasteridae,Valvatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Gephyreaster swifti,Gunpowder Star
Gersemia sp.,NA,Gersemia,Nephtheidae,Alcyonacea,Anthozoa,NA,Anthozoa,Cnidaria,Animalia,Gersemia spp.,sea strawberry
Gersemiasp.,NA,Gersemia,Nephtheidae,Alcyonacea,Anthozoa,NA,NA,Cnidaria,Animalia,Gersemia spp.,sea strawberry
GIBBESIA NEGLECTA,,,,,,,,,,Gibbesia neglecta,lesser mantis shrimp
GINGLYMOSTOMA CIRRATUM,,,,,,,,,,Ginglymostoma cirratum,nurse shark
GLYPTOCEPHALUS CYNOGLOSSUS,cynoglossus,Glyptocephalus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Glyptocephalus cynoglossus,witch flounder
Glyptocephalus cynoglossus,cynoglossus,Glyptocephalus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Glyptocephalus cynoglossus,witch flounder
Glyptocephalus zachirus,zachirus,Glyptocephalus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Glyptocephalus zachirus,rex sole
Glyptocephaluszachirus,zachirus,Glyptocephalus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Glyptocephalus zachirus,rex sole
GOBIESOX STRUMOSUS,,,,,,,,,,Gobiesox strumosus,skilletfish
GOBIOSOMA BOSC,,,,,,,,,,Gobiosoma bosc,naked goby
GOBIOSOMA GINSBURGI,,,,,,,,,,Gobiosoma ginsburgi,seaboard goby
Gonatopsis borealis,borealis,Gonatopsis,Gonatidae,Teuthida,Cephalopoda,NA,NA,Mollusca,Animalia,Gonatopsis borealis,Boreopacific gonate squid
GONATUS  SP.,NA,Gonatus,Gonatidae,Oegopsida,Cephalopoda,NA,NA,Mollusca,Animalia,Gonatus spp.,armhook squids
Gonatus onyx,onyx,Gonatus,Gonatidae,Teuthida,Cephalopoda,NA,NA,Mollusca,Animalia,Gonatus onyx,clawed armhook squid
Gorgonacea,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gorgonacea spp.,soft corals
GORGONOCEPHALIDAE,NA,NA,Gorgonocephalidae,Euryalida,Ophiuroidea,NA,Asterozoa,Echinodermata,Animalia,Gorgonocephalidae spp.,basket stars
Gorgonocephalus eucnemis,eucnemis,Gorgonocephalus,Gorgonocephalidae,Euryalida,Ophiuroidea,NA,Asterozoa,Echinodermata,Animalia,Gorgonocephalus eucnemis,basket star
Gorgonocephaluseucnemis,eucnemis,Gorgonocephalus,Gorgonocephalidae,Euryalida,Ophiuroidea,NA,Asterozoa,Echinodermata,Animalia,Gorgonocephalus eucnemis,basket star
GYMACHIRUS TEXAE,texae,Gymnachirus,Achiridae,Pleuronectiformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Gymachirus texae,Gulf of Mexico fringed sole
GYMNACHIRUS MELAS,,,,,,,,,,Gymnachirus melas,naked sole
GYMNACHIRUS TEXAE,texae,Gymnachirus,Achiridae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Gymnachirus texae,fringed sole
GYMNELIS VIRIDIS,viridis,Gymnelus,Zoarcidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Gymnelus viridis,fish doctor
Gymnocanthus galeatus,galeatus,Gymnocanthus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Gymnocanthus galeatus,armorhead sculpin
Gymnocanthus pistilliger,pistilliger,Gymnocanthus,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Gymnocanthus pistilliger,threaded sculpin
Gymnocanthusgaleatus,galeatus,Gymnocanthus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Gymnocanthus galeatus,armorhead sculpin
GYMNURA ALTAVELA,,,,,,,,,,Gymnura altavela,spiny butterfly ray
GYMNURA MICRURA,,,,,,,,,,Gymnura micrura,smooth butterfly ray
GYMOTHORAX IGROMARGIATUS,nigromarginatus,Gymnothorax,Muraenidae,Anguilliformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Gymothorax igromargiatus,blackedge moray
HAEMULO AUROLIEATUM,aurolineatum,Haemulon,Haemulidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Haemulo aurolieatum,tomtate
HAEMULON AUROLINEATUM,aurolineatum,Haemulon,Haemulidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Haemulon aurolineatum,tomtate
HAEMULON PLUMIERI,,,,,,,,,,Haemulon plumieri,white grunt
HAEMULON SCIURUS,,,,,,,,,,Haemulon sciurus,bluestriped grunt
HALICHOERES BIVITTATUS,,,,,,,,,,Halichoeres bivittatus,slippery dick
HALICHOERES CAUDALIS,,,,,,,,,,Halichoeres caudalis,painted wrasse
Halichondria panicea,panicea,Halichondria,Halichondriidae,Halichondrida,Demospongiae,NA,NA,Porifera,Animalia,Halichondria panicea,breadcrumb sponge
HALIEUTICHTHYS ACULEATUS,aculeatus,Halieutichthys,Ogcocephalidae,Lophiiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Halieutichthys aculeatus,pancake batfish
Halocynthia aurantium,aurantium,Halocynthia,Pyuridae,Pleurogona,Ascidiacea,NA,Urochordata,Chordata,Animalia,Halocynthia aurantium,sea peach
Halocynthia igaboja,igaboja,Halocynthia,Pyuridae,Stolidobranchia,Ascidiacea,NA,Tunicata,Chordata,Animalia,Halocynthia igaboja,bristly tunicate
Halocynthia sp.,NA,Halocynthia,Pyuridae,Pleurogona,Ascidiacea,NA,Urochordata,Chordata,Animalia,Halocynthia spp.,tunicates
HAREGULA JAGUAA,jaguana,Harengula,Clupeidae,Clupeiformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Haregula jaguaa,scaled sardine
HARENGULA JAGUANA,jaguana,Harengula,Clupeidae,Clupeiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Harengula jaguana,scaled sardine
HELICOLENUS DACTYLOPTERUS,dactylopterus,Helicolenus,Sebastidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Helicolenus dactylopterus,blackbelly rosefish
Helicolenus dactylopterus,dactylopterus,Helicolenus,Sebastidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Helicolenus dactylopterus,blackbelly rosefish
HEMICARANX AMBLYRHYNCHUS,,,,,,,,,,Hemicaranx amblyrhynchus,bluntnose jack
HEMICARAX AMBLYRHYCHUS,amblyrhynchus,Hemicaranx,Carangidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Hemicaranx amblyrhynchus,bluntnose jack
Hemilepidotus hemilepidotus,hemilepidotus,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Hemilepidotus hemilepidotus,red Irish lord
Hemilepidotus jordani,jordani,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hemilepidotus jordani,yellow Irish lord
Hemilepidotus papilio,papilio,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hemilepidotus papilio,butterfly sculpin
Hemilepidotus spinosus,spinosus,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Hemilepidotus spinosus,brown Irish lord
Hemilepidotus zapus,zapus,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hemilepidotus zapus,longfin Irish lord
Hemilepidotushemilepidotus,hemilepidotus,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hemilepidotus hemilepidotus,red Irish lord
Hemilepidotusjordani,jordani,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hemilepidotus jordani,yellow Irish lord
Hemilepidotuspapilio,papilio,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hemilepidotus papilio,butterfly sculpin
Hemilepidotuszapus,zapus,Hemilepidotus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hemilepidotus zapus,longfin Irish lord
HEMITRIPTERUS AMERICANUS,americanus,Hemitripterus,Hemitripteridae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hemitripterus americanus,sea raven
Hemitripterus americanus,americanus,Hemitripterus,Hemitripteridae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hemitripterus americanus,sea raven
Hemitripterus bolini,bolini,Hemitripterus,Hemitripteridae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hemitripterus bolini,bigmouth sculpin
Hemitripterusbolini,bolini,Hemitripterus,Hemitripteridae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hemitripterus bolini,bigmouth sculpin
Henricia leviuscula,leviuscula,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Henricia leviuscula,Pacific blood star
Henricia sp.,NA,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Henricia spp.,sea star
Henricia spp.,NA,Henricia,Echinasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Henricia spp.,sea star
HEPATUS EPHELITICUS,epheliticus,Hepatus,Aethridae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Hepatus epheliticus,calico box crab
HETEROPRIACANTHUS CRUENTATUS,,,,,,,,,,Heteropriacanthus cruentatus,glasseye snapper
Heterozonias alternatus,alternatus,Heterozonias,Solasteridae,Spinulosida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Heterozonias alternatus,sea star
Hexactinellida,NA,NA,NA,NA,Hexactinellida,NA,NA,Porifera,Animalia,Hexactinellida spp.,sea sponge
Hexactinosida,NA,NA,NA,Hexactinosida,Hexactinellida,NA,NA,Porifera,Animalia,Hexactinosida spp.,sponge
Hexagrammos decagrammus,decagrammus,Hexagrammos,Hexagrammidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hexagrammos decagrammus,kelp greenling
Hexagrammos stelleri,stelleri,Hexagrammos,Hexagrammidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hexagrammos stelleri,whitespotted greenling
Hexagrammosdecagrammus,decagrammus,Hexagrammos,Hexagrammidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hexagrammos decagrammus,kelp greenling
Hexagrammosstelleri,stelleri,Hexagrammos,Hexagrammidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hexagrammos stelleri,whitespotted greenling
Hexanchus griseus,griseus,Hexanchus,Hexanchidae,Hexanchiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Hexanchus griseus,bluntnose sixgill shark
HEXAPANOPEUS ANGUSTIFRONS,,,,,,,,,,Hexapanopeus angustifrons,smooth mud crab
Hiatella arctica,arctica,Hiatella,Hiatellidae,Myoida,Bivalvia,NA,NA,Mollusca,Animalia,Hiatella arctica,Arctic hiatella
HILDEBRADIA FLAVA,flavus,Rhynchoconger,Congridae,Anguilliformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Rhynchoconger flavus,yellow conger
HILDEBRANDIA FLAVA,flavus,Rhynchoconger,Congridae,Anguilliformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Rhynchoconger flavus,yellow conger
Hippasteria californica,californica,Hippasteria,Goniasteridae,Valvatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Hippasteria californica,Californian spiny star
Hippasteria spinosa,spinosa,Hippasteria,Goniasteridae,Valvatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Hippasteria spinosa,spiny star
HIPPOCAMPUS ERECTUS,erectus,Hippocampus,Syngnathidae,Gasterosteiformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Hippocampus erectus,lined seahorse
Hippoglossina oblonga,oblonga,Hippoglossina,Paralichthyidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossina oblonga,fourspot flounder
Hippoglossoides elassodon,elassodon,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossoides elassodon,flathead sole
HIPPOGLOSSOIDES PLATESSOIDES,platessoides,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossoides platessoides,American plaice
Hippoglossoides platessoides,platessoides,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossoides platessoides,American plaice
Hippoglossoides sp.,NA,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossoides spp.,flounders
Hippoglossoideselassodon,elassodon,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossoides elassodon,flathead sole
Hippoglossoidessp,NA,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossoides spp.,flounders
Hippoglossoidessp.,NA,Hippoglossoides,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossoides spp.,flounders
HIPPOGLOSSUS HIPPOGLOSSUS,hippoglossus,Hippoglossus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossus hippoglossus,Atlantic halibut
Hippoglossus hippoglossus,hippoglossus,Hippoglossus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossus hippoglossus,Atlantic halibut
Hippoglossus stenolepis,stenolepis,Hippoglossus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossus stenolepis,Pacific halibut
Hippoglossusstenolepis,stenolepis,Hippoglossus,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hippoglossus stenolepis,Pacific halibut
HISTRIO HISTRIO,,,,,,,,,,Histrio histrio,sargassumfish
HOLACANTHUS BERMUDENSIS,,,,,,,,,,Holacanthus bermudensis,blue angelfish
HOLOTHUROIDEA,NA,NA,NA,NA,Holothuroidea,NA,Echinozoa,Echinodermata,Animalia,Holothuroidea spp.,sea cucumbers
Holothuroidea,NA,NA,NA,NA,Holothuroidea,NA,Echinozoa,Echinodermata,Animalia,Holothuroidea spp.,sea cucumbers
HOMARUS AMERICANUS,americanus,Homarus,Nephropidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Homarus americanus,American lobster
Homarus americanus,americanus,Homarus,Nephropidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Homarus americanus,American lobster
HOPLUIS MACRURUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,Hopluis macrurus,freckled pike-conger
HOPLUNNIS MACRURUS,macrura,Hoplunnis,Nettastomatidae,Anguilliformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Hoplunnis macrura,freckled pike-conger
Hormathiidae,NA,NA,Hormathiidae,Actiniaria,Anthozoa,NA,Anthozoa,Cnidaria,Animalia,Hormathiidae spp.,sea anemone
HYAS  SP,NA,Hyas,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Hyas spp.,lyre crabs
HYAS  SP.,NA,Hyas,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Hyas spp.,lyre crabs
Hyas coarctatus,coarctatus,Hyas,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Hyas coarctatus,Arctic lyre crab
Hyas lyratus,lyratus,Hyas,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Hyas lyratus,Pacific lyre crab
Hyascoarctatus,coarctatus,Hyas,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Hyas coarctatus,Arctic lyre crab
Hyaslyratus,lyratus,Hyas,Oregoniidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Hyas lyratus,Pacific lyre crab
Hydrolagus colliei,colliei,Hydrolagus,Chimaeridae,Chimaeriformes,Holocephali,Pisces,Vertebrata,Chordata,Animalia,Hydrolagus colliei,spotted ratfish
Hydrolaguscolliei,colliei,Hydrolagus,Chimaeridae,Chimaeriformes,Holocephali,Pisces,Vertebrata,Chordata,Animalia,Hydrolagus colliei,spotted ratfish
HYPEROGLYPHE PERCIFORMES,,,,,,,,,,Hyperoglyphe perciformes,barrelfish
HYPLEUROCHILUS GEMINATUS,,,,,,,,,,Hypleurochilus geminatus,crested blenny
HYPOCONCHA ARCUATA,,,,,,,,,,Hypoconcha arcuata,granulate shellback crab
HYPOCONCHA SPINOSISSIMA,,,,,,,,,,Hypoconcha spinosissima,spiny shellback crab
Hypsagonus quadricornis,quadricornis,Hypsagonus,Agonidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Hypsagonus quadricornis,fourhorn poacher
HYPSOBLENNIUS HENTZ,,,,,,,,,,Hypsoblennius hentz,feather blenny
Icelinus filamentosus,filamentosus,Icelinus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Icelinus filamentosus,threadfin sculpin
Icelinus fimbriatus,fimbriatus,Icelinus,Cottidae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Icelinus fimbriatus,fringed sculpin
ICELUS SPATULA,spatula,Icelus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Icelus spatula,spatulate sculpin
Icelus spiniger,spiniger,Icelus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Icelus spiniger,thorny sculpin
Icelusspiniger,spiniger,Icelus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Icelus spiniger,thorny sculpin
ILLEX ILLECEBROSUS,illecebrosus,Illex,Ommastrephidae,Oegopsida,Cephalopoda,NA,NA,Mollusca,Animalia,Illex illecebrosus,northern shortfin squid
Illex illecebrosus,illecebrosus,Illex,Ommastrephidae,Oegopsida,Cephalopoda,NA,NA,Mollusca,Animalia,Illex illecebrosus,northern shortfin squid
Invertebrata,NA,NA,NA,NA,NA,NA,NA,NA,Animalia,Invertebrata spp.,invertebrate
Isopoda,NA,NA,NA,Isopoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Isopoda spp.,"pill bugs, wood lice and sea slaters"
Isopsetta isolepis,isolepis,Isopsetta,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Isopsetta isolepis,butter sole
Isopsettaisolepis,isolepis,Isopsetta,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Isopsetta isolepis,butter sole
KATHETOSTOMA ALBIGUTTA,albigutta,Kathetostoma,Uranoscopidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Kathetostoma albigutta,lancer stargazer
KYPHOSUS INCISOR,,,,,,,,,,Kyphosus incisor,yellow chub
Labidochirus splendescens,splendescens,Labidochirus,Paguridae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Labidochirus splendescens,splendid hermit
LABRISOMUS NUCHIPINNIS,,,,,,,,,,Labrisomus nuchipinnis,hairy blenny
LAGOCEPHALUS LAEVIGATUS,laevigatus,Lagocephalus,Tetraodontidae,Tetraodontiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lagocephalus laevigatus,smooth puffer
LAGODO RHOMBOIDES,rhomboides,Lagodon,Sparidae,Perciformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Lagodo rhomboides,pinfish
LAGODON RHOMBOIDES,rhomboides,Lagodon,Sparidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lagodon rhomboides,pinfish
Lamna ditropis,ditropis,Lamna,Lamnidae,Lamniformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Lamna ditropis,salmon shark
Laqueus californianus,californianus,Laqueus,Laqueidae,Terebratulida,Rhynchonellata,NA,Rhynchonelliformea,Brachiopoda,Animalia,Laqueus californianus,California lamp shell
LARIMUS FASCIATUS,fasciatus,Larimus,Sciaenidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Larimus fasciatus,banded drum
LEBBEUS GROENLANDICUS,groenlandicus,Lebbeus,Hippolytidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Lebbeus groenlandicus,spiny lebbeid
Lebbeus groenlandicus,groenlandicus,Lebbeus,Hippolytidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Lebbeus groenlandicus,spiny lebbeid
LEBBEUS POLARIS,polaris,Lebbeus,Hippolytidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Lebbeus polaris,polar lebbeid
LEIOLAMBRUS ITIDUS,nitidus,Leiolambrus,Parthenopidae,Decapoda,Malacostraca,NA,Crustacea,Arthropoda,Animalia,Leiolambrus itidus,white elbow crab
LEIOSTOMUS XANTHURUS,xanthurus,Leiostomus,Sciaenidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Leiostomus xanthurus,spot
LEIOSTOMUS XATHURUS,xanthurus,Leiostomus,Sciaenidae,Perciformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Leiostomus xanthurus,spot
LEPIDOCHELYS KEMPII,,,,,,,,,,Lepidochelys kempii,Kemp's Ridley sea turtle
Lepidopsetta sp,NA,Lepidopsetta,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lepidopsetta spp.,rock soles
Lepidopsetta sp.,NA,Lepidopsetta,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lepidopsetta spp.,rock soles
Lepidopsettasp,NA,Lepidopsetta,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lepidopsetta spp.,rock soles
Lepidopsettasp.,NA,Lepidopsetta,Pleuronectidae,Pleuronectiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lepidopsetta spp.,rock soles
LEPOPHIDIUM BREVIBARBE,brevibarbe,Lepophidium,Ophidiidae,Ophidiiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lepophidium brevibarbe,blackedge cusk-eel
LEPOPHIDIUM JEAAE,NA,Lepophidium,Ophidiidae,Ophidiiformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Lepophidium jeaae,Leopard cusk eel
LEPOPHIDIUM JEANNAE,jeannae,Lepophidium,Ophidiidae,Ophidiiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lepophidium jeannae,mottled cusk-eel
LEPOPHIDIUM PROFUNDORUM,profundorum,Lepophidium,Ophidiidae,Ophidiiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lepophidium profundorum,fawn cusk-eel
Lepophidium profundorum,profundorum,Lepophidium,Ophidiidae,Ophidiiformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Lepophidium profundorum,fawn cusk-eel
Leptagonus frenatus,frenatus,Sarritor,Agonidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Sarritor frenatus,sawback poacher
Leptagonusfrenatus,frenatus,Sarritor,Agonidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Sarritor frenatus,sawback poacher
Leptasterias arctica,arctica,Leptasterias,Asteriidae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Leptasterias arctica,sea star
Leptasterias polaris,polaris,Leptasterias,Asteriidae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Leptasterias polaris,polar six-rayed star
Leptasterias sp.,NA,Leptasterias,Asteriidae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Leptasterias spp.,six-rayed sea stars
Leptocottus armatus,armatus,Leptocottus,Cottidae,Scorpaeniformes,Actinopterygii,Pisces,Vertebrata,Chordata,Animalia,Leptocottus armatus,Pacific staghorn sculpin
Lethasterias nanimensis,nanimensis,Lethasterias,Asteriidae,Forcipulatida,Asteroidea,NA,Asterozoa,Echinodermata,Animalia,Lethasterias nanimensis,black spined star
Lethotremus muticus,muticus,Lethotremus,Cyclopteridae,Scorpaeniformes,Actinopterygii,Osteichthyes,Vertebrata,Chordata,Animalia,Lethotremus muticus,docked snailfish
LEUCORAJA ERINACEA,erinacea,Leucoraja,Rajidae,Rajiformes,Chondrichthyes,Chondrichthyes,Vertebrata,Chordata,Animalia,Leucoraja erinacea,little skate
